"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"266",-171.66,-54.636,-85.195,10.091,-6.208,23.984,28.693,-45.821,-13.236,37.639,-6.7779,-19.486,-10.352,1.7395,17.712,17.464,-22.423,6.6343,2.4712,-4.7174,31.18,7.9289,1.0406,37.027,7.5072,-5.927,-14.159,10.538,4.1209,2.2432
"267",-206.76,40.811,78.122,-17.27,-24.645,53.888,47.144,-41.04,-9.5668,42.279,7.1574,-49.471,-0.27192,74.936,-14.238,-15.142,7.073,36.552,33.582,-9.5614,-2.873,-18.055,-9.7542,-1.5797,5.9949,-7.7172,32.541,0.31867,-13.873,51.013
"268",-66.288,167.63,-147.04,45.723,20.559,-52.284,34.712,-131.02,-140.9,80.722,-20.532,25.592,-27.927,-84.033,-23.565,-85.997,9.9258,7.5579,20.454,18.794,-42.299,-9.1563,51.04,-29.415,-19.331,12.479,-2.8879,-31.314,0.32614,50.92
"270",56.006,8.2616,7.8889,5.2812,20.9,25.769,-5.9156,3.633,-6.7674,5.9126,-13.386,-7.4959,15.811,19.039,4.4262,5.8951,-4.7432,21.987,24.66,20.143,-19.287,-0.37206,14.318,28.369,8.9123,-19.912,-3.7283,-9.556,-8.7717,14.289
"271",60.717,14.158,23.271,6.6167,19.02,10.88,-33.249,3.4936,-0.91515,5.0927,-11.58,-2.0146,-0.92018,9.9918,-4.7036,-16.017,-7.6406,10.967,22.134,30.709,-4.4019,-13.855,4.3761,27.041,22.429,-20.37,-11.805,1.6899,3.1039,17.803
"272",45.644,-2.8512,5.0193,-1.3869,22.223,34.915,7.7397,20.457,-12.605,12.834,-5.3768,-8.1964,-3.0174,19.683,-3.7459,-1.3482,-2.7676,23.469,23.113,17.903,-7.7383,-7.26,20.081,14.977,-8.7396,-19.216,3.5322,7.1279,-1.0182,9.0627
"273",59.54,13.495,15.726,10.681,7.916,16.994,-39.195,6.9374,-10.997,-5.4972,-3.6449,9.5569,2.5002,15.222,-10.242,5.5046,-14.288,4.1156,3.8836,10.405,-11.937,-19.878,8.931,14.168,29.29,-19.42,-12.055,-4.17,-1.5399,14.639
"274",57.021,26.16,1.7172,10.804,15.301,24.132,-7.2035,6.3912,1.2756,-6.2486,-6.5255,-1.2408,-7.1174,0.40127,2.3598,-4.5117,-15.123,14.747,10.974,14.603,-18.131,-13.292,9.0499,21.78,24.295,-11.893,-11.643,0.60391,-0.89374,14.078
"275",41.741,-1.7047,20.486,-2.1995,39.748,39.829,0.16887,27.663,-27.217,22.977,-21.375,3.2381,20.273,31.69,-0.19889,-5.8638,-5.4454,32.521,47.085,20.575,20.468,10.412,21.084,38.286,12.895,-3.344,0.36105,-2.3878,-12.222,9.5445
"276",36.724,14.774,0.45021,-7.8391,24.601,26.666,16.97,15.496,-7.7715,19.732,-1.1056,0.12429,-2.8097,14.841,-9.3713,-17.092,-4.9804,23.052,13,22.857,-13.67,-8.448,27.362,22.27,-1.7142,-24.935,7.2603,4.1574,-8.2843,5.1384
