"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"428",-39.141,252.24,0.92432,-23.121,94.551,-16.905,47.037,48.199,-31.169,16.789,92.561,-16.082,99.391,71.495,9.1176,-31.156,60.9,-11.147,-9.1454,1.5811,-19.731,-44.96,30.269,46.273,-27.033,25.766,-20.156,0.55699,-2.8439,13.147
"434",-12.287,-54.203,-41.839,-35.431,78.302,-23.139,75.7,33.609,57.674,38.659,-62.688,30.666,15.754,33.077,19.659,-45.378,-20.078,34.381,9.1154,-10.013,-44.956,-42.023,-0.48704,15.654,2.5675,-1.2729,16.145,17.394,26.195,14.658
"439",-8.6421,-51.538,-43.375,-27.669,55.188,-10.568,75.908,3.2215,44.112,41.301,-24.331,32.578,10.438,-4.0065,-17.874,-44.594,-24.033,3.881,38.586,32.985,-17.573,8.9115,35.187,46.533,31.646,-7.1162,-13.277,19.747,3.6841,19.611
"458",-67.554,-11.697,14.916,-8.1787,44.946,-12.429,62.372,68.965,37.751,64.071,-15.067,46.962,-4.1749,11.905,-33.551,-23.991,-17.836,18.223,-8.2933,34.956,-20.666,-32.511,38.231,14.779,10.999,-21.094,10.854,27.515,4.4912,36.912
"459",26.604,-51.642,-69.322,14.612,61.916,-35.001,69.568,6.1722,38.568,-9.7804,-51.715,18,0.42927,23.289,4.4942,-22.345,9.3029,14.295,-8.7655,32.59,14.46,-25.2,3.714,23.152,-1.056,-27.786,-14.741,7.8142,-44.85,27.418
"462",-5.003,-62.569,-73.652,-25.069,77.917,-27.889,92.512,15.386,42.235,15.948,-37.966,12.299,-3.1933,32.446,6.0133,-31.518,-1.7069,11.213,3.5739,22.984,19.806,-7.8211,36.728,13.797,-4.1385,-10.56,-13.737,-13.955,-41.115,37.656
"464",36.337,-55.207,-65.436,11.343,67.797,-53.602,76.855,9.6551,58.803,-7.2187,-59.961,25.135,14.702,22.067,1.5664,-13.965,-7.9931,0.71247,-1.1737,17.888,-13.118,-16.274,5.8119,24.213,26.273,-20.129,8.0649,23.703,-6.0014,17.78
"469",-29.501,-38.5,-20.238,-15.352,53.82,-26.197,27.372,26.793,27.685,45.517,6.2284,65.475,-9.0499,6.7404,-24.484,-8.1212,-35.819,1.2204,24.477,18.187,-3.9576,-13.764,33.376,41.333,11.093,-26.225,-8.358,9.8857,11.49,28.243
"472",-23.039,-19.888,-37.971,-8.729,13.993,16.123,21.603,-10.327,17.721,22.611,10.439,39.111,-1.6952,-7.9524,18.052,22.155,-15.649,33.908,-21.216,-2.2123,-11.012,-51.308,31.817,38.884,-22.204,-26.03,-10.841,15.147,-1.4479,11.125
"484",-50.817,-23.709,-88.447,33.852,10.211,29.372,-11.476,8.0951,-37.452,15.687,-19.116,14.938,13.582,37.648,3.1765,0.35685,6.7406,-7.9042,27.494,31.946,-8.3538,-11.198,23.589,10.984,7.9782,-24.693,-1.3364,26.674,-9.2358,25.028
"485",-35.346,-32.404,-74.747,14.687,15.227,39.057,-12.37,6.5035,-37.494,30.584,10.511,13.018,11.081,47.415,-18.714,-5.2192,-10.342,-17.185,27.772,25.528,6.0017,-16.068,49.557,36.568,0.27286,-20.959,4.4303,10.565,-4.3529,-2.0245
"488",-18.758,-40.748,-11.143,-14.783,71.95,-13.57,55.551,64.948,45.992,48.081,-1.5056,68.121,-3.001,5.0476,6.9172,-22.079,-33.539,42.331,15.225,5.2006,-10.146,-14.585,31.583,29.649,8.4047,-11.107,3.0414,-11.692,-0.63474,36.808
"489",-66.249,-28.348,-55.183,-1.0749,23.647,35.198,-10.215,-15.03,-13.611,39.177,9.7229,21.183,9.4952,46.082,-3.3347,18.225,-22.26,-2.0067,2.0511,38.048,-16.139,-16.893,61.719,11.179,-17.384,-21.792,6.1002,-2.0879,-16.712,14.875
"490",13.246,-41.265,-97.577,43.569,23.978,19.919,3.3054,2.4188,0.23391,-8.1421,-22.515,-0.28658,47.486,37.533,-9.0403,-18.585,19.746,0.39348,20.913,36.761,-12.352,-15.849,31.409,27.254,2.0704,-23.642,8.1255,-11.443,-26.172,11.41
"492",-18.617,-42.626,-64.575,-0.64027,44.09,-9.6864,42.827,36.953,-10.317,20.561,6.0442,30.386,-3.7531,9.9531,-33.049,-10.937,-37.441,-3.5337,15.15,25.005,-8.4701,13.101,49.734,55.24,12.757,-13.979,-9.4265,9.4143,-10.356,-10.514
"498",-41.502,-41.874,-71.229,12.15,21.426,32.224,-16.209,-5.4732,-20.959,28.84,16.671,18.218,12.079,45.026,-27.381,5.4809,-12.575,-13.725,19.311,49.239,-0.78445,-15.989,67.57,28.164,-3.1666,-16.695,2.5088,-12.22,-18.341,7.7346
"500",-27.83,-41.861,-69.405,9.3778,30.196,7.2826,47.948,17.262,-16.611,52.711,11.998,24.444,-24.218,11.217,-36.204,5.0233,-31.709,-8.8154,19.056,22.009,3.2827,-1.1774,48.841,37.961,2.4773,-27.281,-11.193,12.277,-11.429,6.4938
"504",-163.47,-9.2357,-84.584,163.06,-56.826,40.655,85.09,48.846,56.237,47.701,40.959,-100.98,-38.336,8.7001,31.358,14.348,-8.1301,29.094,-14.56,24.634,-3.3486,36.002,-19.908,12.121,22.727,35.628,24.12,4.4595,-7.0835,-24.362
"506",-290.58,-13.499,36.763,-83.666,29.099,-19.214,8.2899,29.433,-46.904,4.976,-53.262,15.283,24.503,-7.4022,14.104,-5.2704,5.9625,20.074,9.3765,14.589,-5.8551,0.84118,36.286,37.614,10.065,-16.838,-7.4994,26.333,-5.1132,4.0884
"521",-221.21,-49.683,17.676,-103.72,-15.116,-19.012,-13.77,-20.101,-11.665,33.292,-19.263,-17.815,-12.278,-5.1983,29.841,-8.323,4.283,6.4431,-3.98,24.89,-15.903,16.222,20.922,26.519,1.406,-13.308,-8.8987,27.497,-2.4167,10.529
"527",-13.578,-15.101,4.5806,-26.789,35.079,10.791,-11.745,20.474,-14.7,33.151,2.3993,10.061,2.415,24.842,8.4411,-7.1524,-1.8023,23.789,-4.4106,18.255,6.3504,-20.77,25.278,24.917,1.7987,-23.387,-7.4991,3.1713,-6.4895,7.4342
"530",-30.568,0.82315,30.709,-49.598,34.319,26.785,10.619,25.864,-20.958,44.361,21.565,5.2951,-10.397,33.042,15.045,-7.96,-2.5533,31.472,7.1117,7.2225,-3.712,-20.955,19.218,19.369,17.899,-42.06,-14.757,10.421,-11.947,20.062
"531",-14.183,-1.5801,-15.922,-20.1,51.759,20.177,36.283,8.6225,-14.377,47.147,-3.0344,-8.6228,0.36053,22.544,4.5246,-1.1682,1.3512,11.763,18.826,16.669,-0.68509,-7.9891,27.17,17.035,5.042,-24.096,-18.898,8.1729,-6.5955,18.038
"533",-52.538,-22.602,6.3334,-26.223,51.911,18.39,13.091,28.219,-28.785,54.229,4.1784,10.662,20.566,19.429,12.64,-1.9224,-14.241,14.394,4.9332,15.762,12.401,-12.625,23.696,31.022,-0.355,-19.182,-11.796,5.5529,-19.562,14.037
"546",-37.682,-41.727,-38.241,-32.512,52.998,3.6817,19.386,4.7747,-27.31,48.327,6.5078,0.45407,-2.8087,44.204,2.5231,5.4713,-4.9351,8.691,10.922,11.766,0.92911,-21.492,24.622,32.091,3.8329,-26.988,-12.702,13.84,-13.777,12.828
"548",-27.514,-35.455,-9.9012,-0.14595,65.12,19.766,25.248,19.841,-37.986,64.823,-6.473,5.4739,24.452,38.303,7.146,-1.3775,-15.862,16.663,14.103,18.244,7.186,-11.918,27.285,25.119,-3.627,-25.251,-13.125,6.8595,-15.344,20.675
"550",17.746,-22.397,21.684,-11.496,39.296,13.989,1.2343,2.0819,-27.102,32.51,-15.27,-3.4499,14.437,27.641,-1.9245,-1.4947,-3.8279,2.9178,23.895,19.352,22.228,-18.025,12.754,21.79,-2.5865,-13.974,-7.5751,16.353,-6.7778,10.741
"554",-41.018,-0.59655,45.616,-34.729,23.294,13.271,3.0135,36.837,-23.888,55.717,16.915,4.2618,0.10756,18.249,5.9016,-15.474,-2.0065,22.373,-7.5737,18.928,2.9932,-16.296,22.091,19.603,15.432,-28.411,-3.7151,6.5414,-8.3076,17.972
"555",-32.084,-34.203,-7.6902,-25,40.093,8.8743,0.9237,18.892,-17.349,38.726,9.7091,10.6,8.168,24.573,8.2866,11.353,-17.95,24.622,4.0769,4.7966,-8.7568,-15.265,13.353,28.623,0.8932,-24.954,-16.811,16.271,-11.29,18.952
"557",32.115,-7.3576,3.2864,-29.32,8.9666,24.033,-9.4348,-16.156,-6.4762,-0.56746,-5.8969,-14.546,-23.733,11.474,1.5834,-1.3876,-8.1215,23.567,35.458,17.251,-9.0638,-12.84,23.555,30.025,0.62594,-10.306,-8.2248,3.9429,5.0556,14.744
