"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"376",80.235,7.5856,-81.434,-12.054,-13.694,-21.472,-0.28183,-1.8508,-41.248,15.448,27.812,9.695,-10.81,-16.97,28.839,-7.469,10.35,17.64,8.6827,29.758,19.343,-15,17.03,11.919,10.102,-22.015,-2.4799,-13.912,2.0974,-19.939
"382",37.878,-71.587,-70.331,47.477,52.897,11.015,-13.538,2.5655,2.4152,7.8897,10.249,-12.463,-8.8684,-46.645,-2.235,-8.3171,3.3698,18.956,-0.9262,19.406,12.1,-11.358,26.877,11.261,-2.0442,-24.763,-6.7783,1.541,3.7109,9.9838
"387",39.376,-79.67,-76.998,45.702,58.195,2.4817,-11.277,13.776,17.359,13.638,4.0437,-10.131,-22.958,-36.663,-7.5484,-13.245,11.827,6.2693,-1.335,21.438,14.813,-3.7844,30.596,9.5897,6.8097,-13.528,2.1943,-12.155,-9.1494,16.193
"393",31.749,-70.626,-61.051,42.203,56.248,13.18,-2.4215,10.801,-1.699,10.247,3.6466,-6.7272,-3.3411,-43.512,-6.6448,-22.846,-2.0357,13.48,4.7258,16.918,8.432,-9.1707,22.466,-3.2101,-3.4573,-21.443,-6.2023,0.058067,-2.9,10.066
"394",80.386,-1.5952,-62.414,0.80494,-26.608,-16.318,5.913,-18.752,-46.388,0.47043,2.3798,2.816,-11.073,-12.953,8.3244,7.0522,-4.2221,4.3379,3.8898,-8.9789,21.132,-6.3819,11.74,-1.7664,12.782,0.86738,-6.1536,-10.211,-5.3384,14.559
"401",30.905,-63.809,-75.126,43.054,60.573,3.4766,-9.6362,14.349,-1.4827,24.169,-3.6532,-17.496,-21.265,-38.166,0.98858,-11.632,-3.3559,6.468,-7.252,10.169,24.642,1.3833,21.523,13.078,2.8383,-16.031,-0.94628,-16.421,-5.6228,1.4785
"410",-133.96,-34.691,4.705,-44.278,17.296,129.32,35.402,-6.5542,-33.838,26.98,12.245,12.177,1.6522,7.8995,63.431,11.898,-22.485,13.599,12.352,-0.92853,34.524,-3.3704,-2.5579,19.282,-12.104,-28.371,12.156,-2.9437,-22.382,-20.896
"411",73.413,64.471,21.091,-59.802,-69.569,23.635,-9.8177,-40.955,-3.519,29.767,-13.632,-16.45,-15.452,-28.899,-0.040861,2.8572,51.219,33.161,-34.757,-24.562,16.89,-15.327,35.253,2.2201,-1.9829,-40.098,1.934,9.7967,1.6726,39.322
"416",24.974,5.8064,-60.769,-133.89,-111.49,18.192,-73.115,-8.3192,-6.3804,38.896,-1.7256,20.225,-31.123,-15.948,16.28,8.918,3.5791,-4.0221,-56.604,8.0435,12.355,8.4726,-21.806,22.141,45.225,-5.1879,-5.2599,-11.512,28.886,10.221
"423",-205.16,9.7096,-40.081,-114.5,80.281,-81.237,-0.43286,52.258,-77.602,29.834,31.858,60.478,-17.976,-18.119,-25.326,-51.594,10.059,68.386,48.14,-55.559,-23.158,-42.41,0.46574,47.171,-22.377,-34.928,14.613,48,-6.2304,58.285
"428",-246.9,26.437,-72.027,-82.048,46.297,-89.148,-30.617,-35.492,-84.74,56.796,20.207,40.702,0.36749,-107.35,-1.5972,29.865,-8.063,4.3455,96.553,-7.887,20.545,-25.02,-2.6554,2.9629,22.352,2.3256,-20.276,-17.05,33.667,64.081
"439",-47.025,34.599,-140.74,-58.864,-160.61,66.231,-73.909,-73.469,-4.4239,23.512,36.537,8.9482,-23.605,3.85,7.629,-3.6057,-13.963,34.166,6.0126,36.14,25.227,-15.479,10.885,4.2767,53.74,-4.9301,-30.197,-4.1566,31.199,-10.515
"458",-11.96,26.136,-101.76,-15.194,-140.25,53.586,-50.422,-40.167,1.7317,4.9936,51.14,20.92,6.5368,-4.3244,-6.4473,-8.3835,44.659,40.996,-4.3612,-3.8463,32.725,11.086,45.55,21.3,26.19,-16.395,-21.559,-18.444,-3.6458,8.6234
"459",-39.255,9.2164,-31.273,-19.325,-99.978,-1.6117,-26.427,0.11434,-49.245,43.827,-19.289,3.4932,2.4907,18.08,17.776,35.57,30.005,5.5124,-19.474,-38.686,23.239,-11.55,6.1504,-20.424,-14.619,-27.898,-32.683,26.36,-15.865,17.963
